ID,Categorie,Composant,Role,Status,Avancement,Responsable
1.1,Database,roles,Definition des niveaux de permissions,Termine,100%,Admin DB
1.2,Database,users,Stockage local et meta-donnees de synchronisation,Termine,100%,Admin DB
1.3,Database,userbloc,Gestion de la sécurité et archivage des blocages,Termine,100%,Admin DB
1.4,Database,system_configs,Parametrage dynamique persistant (Session timeout),Termine,100%,Admin DB
2.1,Backend,UserService,Orchestrateur Sync Triple (SQL/Auth/Firestore),Termine,100%,Dev Backend
2.2,Backend,SystemConfigService,Synchronisation des reglage SQL vers Cloud,Termine,100%,Dev Backend
2.3,Backend,UserController,Exposition des endpoints (Login/Admin/CRUD),Termine,100%,Dev Backend
2.4,Backend,DynamicSessionFilter,Application temps-reel des timeouts de session,Termine,100%,Dev Backend
2.5,Backend,FirebaseConfig,Initialisation du SDK Admin Firebase,Termine,100%,Dev Backend
3.1,Frontend,Login.vue,Auth et gestion des messages de blocage,Termine,100%,Dev Frontend
3.2,Frontend,RegisterProfile.vue,Creation de compte synchronisee,Termine,100%,Dev Frontend
3.3,Frontend,Accueil.vue,Dashboard multi-role et console d'administration,Termine,100%,Dev Frontend
4.1,Mobile,App Mobile,Interface utilisateur mobile,A faire,0%,Dev Mobile
4.2,Mobile,Sync Script,Logique de basculement Local/Online mobile,A faire,0%,Dev Mobile
